Mercadoria,Vencimento,Preco_Anterior,Preco_Atual,Variacao,Valor_ajuste_contrato,Data_new
,M21 ,"99.260,96","99.014,13","-246,83","666,50",2021-04-30
,N21 ,"99.203,29","98.953,03","-250,26","675,76",2021-04-30
,Q21 ,"99.124,45","98.879,56","-244,89","661,26",2021-04-30
,U21 ,"99.057,65","98.807,11","-250,54","676,52",2021-04-30
,V21 ,"98.967,10","98.719,77","-247,33","667,85",2021-04-30
,X21 ,"98.882,26","98.636,76","-245,50","662,91",2021-04-30
,Z21 ,"98.789,66","98.543,14","-246,52","665,66",2021-04-30
,F22 ,"98.689,17","98.446,81","-242,36","654,43",2021-04-30
,G22 ,"98.587,36","98.357,87","-229,49","619,68",2021-04-30
,H22 ,"98.495,06","98.266,19","-228,87","618,00",2021-04-30
,J22 ,"98.397,26","98.176,62","-220,64","595,78",2021-04-30
,N22 ,"98.128,35","97.896,86","-231,49","625,08",2021-04-30
,V22 ,"97.828,73","97.595,68","-233,05","629,29",2021-04-30
,F23 ,"97.493,94","97.259,14","-234,80","634,01",2021-04-30
,J23 ,"97.190,93","96.953,17","-237,76","642,01",2021-04-30
,N23 ,"96.881,17","96.640,84","-240,33","648,95",2021-04-30
,V23 ,"96.517,65","96.277,52","-240,13","648,41",2021-04-30
,F24 ,"96.107,96","95.891,82","-216,14","583,63",2021-04-30
,J24 ,"95.715,78","95.500,89","-214,89","580,25",2021-04-30
,N24 ,"95.272,76","95.031,40","-241,36","651,73",2021-04-30
,V24 ,"94.715,48","94.474,72","-240,76","650,11",2021-04-30
,F25 ,"94.254,05","93.982,61","-271,44","732,95",2021-04-30
,J25 ,"93.795,87","93.557,31","-238,56","644,17",2021-04-30
,N25 ,"93.245,77","93.003,67","-242,10","653,73",2021-04-30
,V25 ,"92.589,31","92.393,59","-195,72","528,49",2021-04-30
,F26 ,"92.230,33","91.830,49","-399,84","1.079,66",2021-04-30
,J26 ,"91.803,72","91.395,54","-408,18","1.102,18",2021-04-30
,N26 ,"91.101,12","90.691,79","-409,33","1.105,29",2021-04-30
,F27 ,"89.936,46","89.515,82","-420,64","1.135,83",2021-04-30
,F28 ,"87.838,15","87.384,58","-453,57","1.224,75",2021-04-30
,F29 ,"85.476,13","85.230,66","-245,47","662,83",2021-04-30
,F30 ,"82.842,81","82.661,82","-180,99","488,71",2021-04-30
,F31 ,"80.384,28","80.334,27","-50,01","135,03",2021-04-30
,F33 ,"76.135,52","76.104,65","-30,87","83,35",2021-04-30
,F35 ,"72.253,33","72.225,46","-27,87","75,25",2021-04-30
,F36 ,"70.841,36","70.818,90","-22,46","60,64",2021-04-30
DDI   - Cupom cambial                                     ,K21 ,"99.307,35","99.066,59","-240,76","650,11",2021-04-30
,M21 ,"99.260,96","99.014,13","-246,83","666,50",2021-04-30
,N21 ,"99.203,29","98.953,03","-250,26","675,76",2021-04-30
,Q21 ,"99.124,45","98.879,56","-244,89","661,26",2021-04-30
,U21 ,"99.057,65","98.807,11","-250,54","676,52",2021-04-30
,V21 ,"98.967,10","98.719,77","-247,33","667,85",2021-04-30
,X21 ,"98.882,26","98.636,76","-245,50","662,91",2021-04-30
,Z21 ,"98.789,66","98.543,14","-246,52","665,66",2021-04-30
,F22 ,"98.689,17","98.446,81","-242,36","654,43",2021-04-30
,G22 ,"98.587,36","98.357,87","-229,49","619,68",2021-04-30
,H22 ,"98.495,06","98.266,19","-228,87","618,00",2021-04-30
,J22 ,"98.397,26","98.176,62","-220,64","595,78",2021-04-30
,N22 ,"98.128,35","97.896,86","-231,49","625,08",2021-04-30
,V22 ,"97.828,73","97.595,68","-233,05","629,29",2021-04-30
,F23 ,"97.493,94","97.259,14","-234,80","634,01",2021-04-30
,J23 ,"97.190,93","96.953,17","-237,76","642,01",2021-04-30
,N23 ,"96.881,17","96.640,84","-240,33","648,95",2021-04-30
,V23 ,"96.517,65","96.277,52","-240,13","648,41",2021-04-30
,F24 ,"96.107,96","95.891,82","-216,14","583,63",2021-04-30
,J24 ,"95.715,78","95.500,89","-214,89","580,25",2021-04-30
,N24 ,"95.272,76","95.031,40","-241,36","651,73",2021-04-30
,V24 ,"94.715,48","94.474,72","-240,76","650,11",2021-04-30
,F25 ,"94.254,05","93.982,61","-271,44","732,95",2021-04-30
,J25 ,"93.795,87","93.557,31","-238,56","644,17",2021-04-30
,N25 ,"93.245,77","93.003,67","-242,10","653,73",2021-04-30
,V25 ,"92.589,31","92.393,59","-195,72","528,49",2021-04-30
,F26 ,"92.230,33","91.830,49","-399,84","1.079,66",2021-04-30
,J26 ,"91.803,72","91.395,54","-408,18","1.102,18",2021-04-30
,N26 ,"91.101,12","90.691,79","-409,33","1.105,29",2021-04-30
,F27 ,"89.936,46","89.515,82","-420,64","1.135,83",2021-04-30
,F28 ,"87.838,15","87.384,58","-453,57","1.224,75",2021-04-30
,F29 ,"85.476,13","85.230,66","-245,47","662,83",2021-04-30
,F30 ,"82.842,81","82.661,82","-180,99","488,71",2021-04-30
,F31 ,"80.384,28","80.334,27","-50,01","135,03",2021-04-30
,F33 ,"76.135,52","76.104,65","-30,87","83,35",2021-04-30
,F35 ,"72.253,33","72.225,46","-27,87","75,25",2021-04-30
,F36 ,"70.841,36","70.818,90","-22,46","60,64",2021-04-30
DI1   - DI de 1 dia                                       ,K21 ,"99.979,26","99.979,85","0,59","0,59",2021-04-30
,M21 ,"99.708,78","99.708,87","0,09","0,09",2021-04-30
,N21 ,"99.402,00","99.403,49","1,49","1,49",2021-04-30
,Q21 ,"99.050,22","99.055,46","5,24","5,24",2021-04-30
,U21 ,"98.654,37","98.659,60","5,23","5,23",2021-04-30
,V21 ,"98.267,40","98.272,91","5,51","5,51",2021-04-30
,X21 ,"97.868,94","97.875,08","6,14","6,14",2021-04-30
,Z21 ,"97.449,61","97.460,22","10,61","10,61",2021-04-30
,F22 ,"96.953,86","96.970,70","16,84","16,84",2021-04-30
,G22 ,"96.502,65","96.522,39","19,74","19,74",2021-04-30
,H22 ,"96.023,24","96.043,94","20,70","20,70",2021-04-30
,J22 ,"95.489,90","95.515,68","25,78","25,78",2021-04-30
,N22 ,"93.894,55","93.930,90","36,35","36,35",2021-04-30
,V22 ,"92.129,69","92.165,97","36,28","36,28",2021-04-30
,F23 ,"90.419,39","90.438,65","19,26","19,26",2021-04-30
,J23 ,"88.614,77","88.643,65","28,88","28,88",2021-04-30
,N23 ,"86.793,83","86.816,11","22,28","22,28",2021-04-30
,V23 ,"84.894,90","84.922,30","27,40","27,40",2021-04-30
,F24 ,"83.166,20","83.201,08","34,88","34,88",2021-04-30
,J24 ,"81.397,45","81.455,99","58,54","58,54",2021-04-30
,N24 ,"79.632,97","79.717,75","84,78","84,78",2021-04-30
,V24 ,"77.858,85","77.947,69","88,84","88,84",2021-04-30
,F25 ,"76.100,75","76.193,24","92,49","92,49",2021-04-30
,J25 ,"74.365,11","74.479,73","114,62","114,62",2021-04-30
,N25 ,"72.865,13","73.003,28","138,15","138,15",2021-04-30
,V25 ,"71.013,33","71.135,40","122,07","122,07",2021-04-30
,F26 ,"69.537,54","69.642,15","104,61","104,61",2021-04-30
,J26 ,"68.032,31","68.114,54","82,23","82,23",2021-04-30
,N26 ,"66.549,07","66.604,29","55,22","55,22",2021-04-30
,F27 ,"63.379,66","63.492,91","113,25","113,25",2021-04-30
,F28 ,"57.823,53","57.943,04","119,51","119,51",2021-04-30
,F29 ,"52.718,23","52.841,76","123,53","123,53",2021-04-30
,F30 ,"48.099,47","48.206,30","106,83","106,83",2021-04-30
,F31 ,"43.869,70","43.957,85","88,15","88,15",2021-04-30
,F33 ,"36.306,53","36.392,98","86,45","86,45",2021-04-30
,F35 ,"30.029,50","30.112,02","82,52","82,52",2021-04-30
,F36 ,"27.326,67","27.406,76","80,09","80,09",2021-04-30
DOL   - Dólar comercial                                   ,K21 ,"5.364,2060","5.351,1700","-13,0360","651,80",2021-04-30
,M21 ,"5.376,2450","5.362,8720","-13,3730","668,65",2021-04-30
,N21 ,"5.389,7040","5.376,0270","-13,6770","683,85",2021-04-30
,Q21 ,"5.404,5470","5.390,9100","-13,6370","681,85",2021-04-30
,U21 ,"5.422,5760","5.408,5740","-14,0020","700,10",2021-04-30
,V21 ,"5.438,9530","5.425,0570","-13,8960","694,80",2021-04-30
,X21 ,"5.456,4150","5.442,5270","-13,8880","694,40",2021-04-30
,Z21 ,"5.474,7630","5.460,5070","-14,2560","712,80",2021-04-30
